sample_idx,label,audio_path,segment_id,Energy,Harmony,Pitch,Spectral,Tempo,Timbre,Vibrato
80,Ca trù,ca_tru/audio_35_011.wav,1,Vừa,Trung bình,Trầm,Thấp,Nhanh,Thấp,Ít luyến
81,Ca trù,ca_tru/audio_35_011.wav,2,Vừa,Trung bình,Rất trầm,Thấp,Chậm,Thấp,Ít luyến
82,Ca trù,ca_tru/audio_24_000.wav,1,Vừa,Thấp,Cao,Thấp,Chậm,Rất thấp,Vừa
83,Ca trù,ca_tru/audio_24_000.wav,2,Vừa,Thấp,Trầm,Thấp,Chậm,Rất thấp,Vừa
84,Ca trù,ca_tru/audio_20_004.wav,1,Mạnh,Thấp,Trung,Thấp,Chậm,Rất cao,Vừa
85,Ca trù,ca_tru/audio_20_004.wav,2,Yếu,Cao,Trầm,Thấp,Chậm,Rất cao,Vừa
86,Ca trù,ca_tru/audio_33_071.wav,1,Rất yếu,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Vừa
87,Ca trù,ca_tru/audio_33_071.wav,2,Vừa,Thấp,Trầm,Thấp,Chậm,Rất thấp,Vừa
88,Ca trù,ca_tru/audio_9_005.wav,1,Rất yếu,Thấp,Trầm,Cao,Vừa,Thấp,Nhiều luyến
89,Ca trù,ca_tru/audio_9_005.wav,2,Rất yếu,Trung bình,Trầm,Cao,Vừa,Thấp,Vừa
90,Ca trù,ca_tru/audio_1_010.wav,1,Rất mạnh,Cao,Trầm,Trung bình,Chậm,Rất cao,Vừa
91,Ca trù,ca_tru/audio_1_010.wav,2,Rất mạnh,Cao,Rất cao,Trung bình,Nhanh,Rất cao,Nhiều luyến
92,Ca trù,ca_tru/audio_27_008.wav,1,Vừa,Trung bình,Trầm,Thấp,Vừa,Rất thấp,Vừa
93,Ca trù,ca_tru/audio_27_008.wav,2,Vừa,Trung bình,Trầm,Thấp,Chậm,Rất thấp,Vừa
94,Ca trù,ca_tru/audio_36_017.wav,1,Rất yếu,Thấp,Rất trầm,Thấp,Chậm,Rất cao,Ít luyến
95,Ca trù,ca_tru/audio_36_017.wav,2,Rất yếu,Thấp,Rất trầm,Thấp,Chậm,Rất cao,Ít luyến
96,Ca trù,ca_tru/audio_17_089.wav,1,Rất yếu,Cao,Rất trầm,Trung bình,Vừa,Rất thấp,Ít luyến
97,Ca trù,ca_tru/audio_17_089.wav,2,Rất yếu,Cao,Trầm,Trung bình,Vừa,Thấp,Vừa
98,Ca trù,ca_tru/audio_32_011.wav,1,Rất yếu,Cao,Rất trầm,Cao,Chậm,Rất thấp,Ít luyến
99,Ca trù,ca_tru/audio_32_011.wav,2,Rất yếu,Cao,Rất trầm,Cao,Chậm,Rất thấp,Ít luyến
100,Ca trù,ca_tru/audio_35_005.wav,1,Vừa,Trung bình,Trầm,Thấp,Chậm,Rất thấp,Vừa
101,Ca trù,ca_tru/audio_35_005.wav,2,Vừa,Cao,Trầm,Thấp,Vừa,Rất thấp,Ít luyến
102,Ca trù,ca_tru/audio_30_008.wav,1,Vừa,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Vừa
103,Ca trù,ca_tru/audio_30_008.wav,2,Vừa,Thấp,Trầm,Thấp,Chậm,Rất thấp,Nhiều luyến
104,Ca trù,ca_tru/audio_17_038.wav,1,Rất yếu,Cao,Trầm,Trung bình,Chậm,Trung bình,Vừa
105,Ca trù,ca_tru/audio_17_038.wav,2,Rất yếu,Cao,Trung,Trung bình,Vừa,Cao,Vừa
106,Ca trù,ca_tru/audio_33_103.wav,1,Rất yếu,Thấp,Trầm,Cao,Vừa,Rất thấp,Nhiều luyến
107,Ca trù,ca_tru/audio_33_103.wav,2,Rất yếu,Thấp,Trung,Cao,Chậm,Rất thấp,Vừa
108,Ca trù,ca_tru/audio_15_001.wav,1,Rất yếu,Thấp,Cao,Cao,Vừa,Rất cao,Nhiều luyến
109,Ca trù,ca_tru/audio_15_001.wav,2,Rất yếu,Cao,Rất trầm,Cao,Chậm,Rất cao,Ít luyến
110,Ca trù,ca_tru/audio_32_007.wav,1,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Vừa
111,Ca trù,ca_tru/audio_32_007.wav,2,Rất yếu,Thấp,Rất trầm,Cao,Nhanh,Rất thấp,Ít luyến
112,Ca trù,ca_tru/audio_33_003.wav,1,Rất yếu,Thấp,Rất cao,Cao,Chậm,Rất thấp,Vừa
113,Ca trù,ca_tru/audio_33_003.wav,2,Rất yếu,Thấp,Trung,Trung bình,Chậm,Rất thấp,Nhiều luyến
114,Ca trù,ca_tru/audio_17_084.wav,1,Rất yếu,Cao,Trầm,Cao,Chậm,Rất thấp,Vừa
115,Ca trù,ca_tru/audio_17_084.wav,2,Vừa,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Vừa
116,Ca trù,ca_tru/audio_17_048.wav,1,Rất yếu,Cao,Trầm,Cao,Vừa,Rất cao,Ít luyến
117,Ca trù,ca_tru/audio_17_048.wav,2,Rất yếu,Cao,Rất trầm,Trung bình,Chậm,Rất cao,Ít luyến
118,Ca trù,ca_tru/audio_26_003.wav,1,Yếu,Cao,Rất trầm,Cao,Vừa,Rất cao,Ít luyến
119,Ca trù,ca_tru/audio_26_003.wav,2,Yếu,Cao,Rất trầm,Cao,Vừa,Rất cao,Ít luyến
120,Ca trù,ca_tru/audio_33_092.wav,1,Vừa,Thấp,Trầm,Cao,Chậm,Rất thấp,Vừa
121,Ca trù,ca_tru/audio_33_092.wav,2,Vừa,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Vừa
122,Ca trù,ca_tru/audio_13_010.wav,1,Rất yếu,Cao,Trầm,Cao,Vừa,Thấp,Nhiều luyến
123,Ca trù,ca_tru/audio_13_010.wav,2,Rất yếu,Cao,Trầm,Thấp,Chậm,Rất thấp,Vừa
124,Ca trù,ca_tru/audio_17_027.wav,1,Rất yếu,Thấp,Trung,Cao,Chậm,Rất thấp,Nhiều luyến
125,Ca trù,ca_tru/audio_17_027.wav,2,Rất yếu,Thấp,Rất trầm,Thấp,Chậm,Rất thấp,Ít luyến
126,Ca trù,ca_tru/audio_17_006.wav,1,Rất yếu,Trung bình,Trầm,Trung bình,Vừa,Rất thấp,Vừa
127,Ca trù,ca_tru/audio_17_006.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Vừa
128,Ca trù,ca_tru/audio_27_014.wav,1,Vừa,Cao,Rất trầm,Trung bình,Vừa,Cao,Ít luyến
129,Ca trù,ca_tru/audio_27_014.wav,2,Vừa,Cao,Trầm,Thấp,Vừa,Cao,Vừa
130,Ca trù,ca_tru/audio_11_004.wav,1,Rất yếu,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Vừa
131,Ca trù,ca_tru/audio_11_004.wav,2,Rất yếu,Cao,Trầm,Thấp,Vừa,Rất thấp,Vừa
132,Ca trù,ca_tru/audio_29_008.wav,1,Rất yếu,Cao,Trung,Trung bình,Vừa,Cao,Nhiều luyến
133,Ca trù,ca_tru/audio_29_008.wav,2,Vừa,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Vừa
134,Ca trù,ca_tru/audio_17_088.wav,1,Rất yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Vừa
135,Ca trù,ca_tru/audio_17_088.wav,2,Rất yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
136,Ca trù,ca_tru/audio_11_007.wav,1,Rất yếu,Cao,Rất cao,Cao,Chậm,Rất cao,Nhiều luyến
137,Ca trù,ca_tru/audio_11_007.wav,2,Rất yếu,Cao,Rất cao,Cao,Chậm,Rất cao,Nhiều luyến
138,Ca trù,ca_tru/audio_10_008.wav,1,Vừa,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Vừa
139,Ca trù,ca_tru/audio_10_008.wav,2,Vừa,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
140,Ca trù,ca_tru/audio_33_051.wav,1,Vừa,Cao,Trầm,Cao,Vừa,Rất thấp,Ít luyến
141,Ca trù,ca_tru/audio_33_051.wav,2,Rất yếu,Cao,Trầm,Trung bình,Chậm,Rất thấp,Nhiều luyến
142,Ca trù,ca_tru/audio_33_054.wav,1,Rất yếu,Thấp,Trầm,Cao,Vừa,Rất thấp,Ít luyến
143,Ca trù,ca_tru/audio_33_054.wav,2,Rất yếu,Thấp,Trầm,Cao,Vừa,Rất thấp,Vừa
144,Ca trù,ca_tru/audio_22_001.wav,1,Yếu,Cao,Trầm,Thấp,Nhanh,Rất thấp,Vừa
145,Ca trù,ca_tru/audio_22_001.wav,2,Vừa,Cao,Trầm,Trung bình,Chậm,Rất thấp,Vừa
146,Ca trù,ca_tru/audio_24_006.wav,1,Vừa,Thấp,Trầm,Thấp,Vừa,Rất thấp,Vừa
147,Ca trù,ca_tru/audio_24_006.wav,2,Vừa,Thấp,Trầm,Trung bình,Vừa,Thấp,Ít luyến
148,Ca trù,ca_tru/audio_0_022.wav,1,Yếu,Thấp,Cao,Cao,Chậm,Rất thấp,Vừa
149,Ca trù,ca_tru/audio_0_022.wav,2,Yếu,Thấp,Trầm,Cao,Chậm,Rất thấp,Vừa
150,Ca trù,ca_tru/audio_17_050.wav,1,Rất yếu,Cao,Trung,Trung bình,Chậm,Thấp,Nhiều luyến
151,Ca trù,ca_tru/audio_17_050.wav,2,Rất yếu,Cao,Trầm,Trung bình,Nhanh,Cao,Vừa
152,Ca trù,ca_tru/audio_17_040.wav,1,Rất yếu,Cao,Trầm,Thấp,Chậm,Thấp,Vừa
153,Ca trù,ca_tru/audio_17_040.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
154,Ca trù,ca_tru/audio_2_009.wav,1,Vừa,Cao,Rất trầm,Thấp,Vừa,Rất thấp,Vừa
155,Ca trù,ca_tru/audio_2_009.wav,2,Rất yếu,Cao,Trầm,Thấp,Nhanh,Rất thấp,Ít luyến
156,Ca trù,ca_tru/audio_34_002.wav,1,Rất yếu,Thấp,Rất trầm,Cao,Chậm,Rất thấp,Ít luyến
157,Ca trù,ca_tru/audio_34_002.wav,2,Rất yếu,Thấp,Trung,Trung bình,Chậm,Rất thấp,Nhiều luyến
158,Ca trù,ca_tru/audio_17_067.wav,1,Vừa,Cao,Trầm,Cao,Vừa,Rất thấp,Vừa
159,Ca trù,ca_tru/audio_17_067.wav,2,Vừa,Cao,Trung,Cao,Vừa,Trung bình,Vừa
160,Ca trù,ca_tru/audio_2_013.wav,1,Vừa,Thấp,Trầm,Thấp,Vừa,Rất thấp,Vừa
161,Ca trù,ca_tru/audio_2_013.wav,2,Vừa,Cao,Rất trầm,Thấp,Vừa,Rất thấp,Vừa
162,Ca trù,ca_tru/audio_20_001.wav,1,Yếu,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Nhiều luyến
163,Ca trù,ca_tru/audio_20_001.wav,2,Vừa,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Vừa
164,Ca trù,ca_tru/audio_33_073.wav,1,Rất yếu,Thấp,Rất trầm,Thấp,Vừa,Rất thấp,Ít luyến
165,Ca trù,ca_tru/audio_33_073.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Vừa
166,Ca trù,ca_tru/audio_34_003.wav,1,Rất yếu,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Nhiều luyến
167,Ca trù,ca_tru/audio_34_003.wav,2,Vừa,Thấp,Rất trầm,Trung bình,Chậm,Thấp,Ít luyến
168,Ca trù,ca_tru/audio_33_022.wav,1,Vừa,Thấp,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
169,Ca trù,ca_tru/audio_33_022.wav,2,Vừa,Thấp,Rất trầm,Thấp,Chậm,Rất thấp,Vừa
170,Ca trù,ca_tru/audio_34_007.wav,1,Rất yếu,Thấp,Trầm,Thấp,Chậm,Cao,Vừa
171,Ca trù,ca_tru/audio_34_007.wav,2,Yếu,Thấp,Rất trầm,Trung bình,Vừa,Rất thấp,Ít luyến
172,Ca trù,ca_tru/audio_27_005.wav,1,Vừa,Cao,Trầm,Thấp,Chậm,Cao,Vừa
173,Ca trù,ca_tru/audio_27_005.wav,2,Vừa,Thấp,Rất cao,Thấp,Chậm,Rất cao,Nhiều luyến
174,Ca trù,ca_tru/audio_33_033.wav,1,Rất yếu,Cao,Trung,Thấp,Vừa,Rất thấp,Ít luyến
175,Ca trù,ca_tru/audio_33_033.wav,2,Vừa,Thấp,Rất trầm,Trung bình,Vừa,Rất thấp,Vừa
176,Ca trù,ca_tru/audio_34_006.wav,1,Vừa,Thấp,Trung,Trung bình,Vừa,Rất thấp,Nhiều luyến
177,Ca trù,ca_tru/audio_34_006.wav,2,Rất yếu,Thấp,Trầm,Thấp,Chậm,Rất cao,Vừa
178,Ca trù,ca_tru/audio_37_003.wav,1,Rất yếu,Thấp,Trầm,Thấp,Vừa,Rất cao,Vừa
179,Ca trù,ca_tru/audio_37_003.wav,2,Rất yếu,Thấp,Trung,Thấp,Chậm,Rất cao,Vừa
180,Ca trù,ca_tru/audio_27_004.wav,1,Rất yếu,Trung bình,Trầm,Trung bình,Vừa,Rất thấp,Vừa
181,Ca trù,ca_tru/audio_27_004.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Thấp,Nhiều luyến
182,Ca trù,ca_tru/audio_33_076.wav,1,Vừa,Trung bình,Trầm,Trung bình,Vừa,Rất thấp,Vừa
183,Ca trù,ca_tru/audio_33_076.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
184,Ca trù,ca_tru/audio_28_001.wav,1,Rất yếu,Cao,Trầm,Trung bình,Vừa,Rất cao,Vừa
185,Ca trù,ca_tru/audio_28_001.wav,2,Rất yếu,Cao,Trầm,Thấp,Vừa,Cao,Vừa
186,Ca trù,ca_tru/audio_33_052.wav,1,Vừa,Cao,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
187,Ca trù,ca_tru/audio_33_052.wav,2,Vừa,Cao,Trầm,Cao,Nhanh,Rất thấp,Nhiều luyến
188,Ca trù,ca_tru/audio_0_011.wav,1,Yếu,Cao,Trầm,Cao,Vừa,Cao,Vừa
189,Ca trù,ca_tru/audio_0_011.wav,2,Yếu,Thấp,Trầm,Cao,Vừa,Trung bình,Ít luyến
190,Ca trù,ca_tru/audio_33_019.wav,1,Rất yếu,Thấp,Rất trầm,Trung bình,Nhanh,Rất thấp,Ít luyến
191,Ca trù,ca_tru/audio_33_019.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Nhanh,Rất thấp,Ít luyến
192,Ca trù,ca_tru/audio_17_087.wav,1,Rất yếu,Trung bình,Trầm,Thấp,Vừa,Rất thấp,Vừa
193,Ca trù,ca_tru/audio_17_087.wav,2,Rất yếu,Cao,Trầm,Cao,Vừa,Thấp,Vừa
194,Ca trù,ca_tru/audio_22_007.wav,1,Yếu,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
195,Ca trù,ca_tru/audio_22_007.wav,2,Yếu,Cao,Trầm,Thấp,Nhanh,Rất thấp,Ít luyến
196,Ca trù,ca_tru/audio_18_004.wav,1,Yếu,Thấp,Rất trầm,Trung bình,Vừa,Rất cao,Ít luyến
197,Ca trù,ca_tru/audio_18_004.wav,2,Yếu,Cao,Rất trầm,Trung bình,Vừa,Rất cao,Ít luyến
198,Ca trù,ca_tru/audio_24_011.wav,1,Vừa,Thấp,Trầm,Thấp,Chậm,Rất thấp,Vừa
199,Ca trù,ca_tru/audio_24_011.wav,2,Vừa,Thấp,Trầm,Thấp,Chậm,Rất thấp,Nhiều luyến
200,Ca trù,ca_tru/audio_17_037.wav,1,Rất yếu,Cao,Trầm,Cao,Vừa,Rất thấp,Ít luyến
201,Ca trù,ca_tru/audio_17_037.wav,2,Rất yếu,Cao,Trầm,Trung bình,Chậm,Thấp,Vừa
202,Ca trù,ca_tru/audio_31_002.wav,1,Mạnh,Thấp,Rất trầm,Thấp,Nhanh,Rất thấp,Nhiều luyến
203,Ca trù,ca_tru/audio_31_002.wav,2,Vừa,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Vừa
204,Ca trù,ca_tru/audio_32_005.wav,1,Rất yếu,Thấp,Rất cao,Cao,Nhanh,Rất thấp,Nhiều luyến
205,Ca trù,ca_tru/audio_32_005.wav,2,Vừa,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Vừa
206,Ca trù,ca_tru/audio_14_010.wav,1,Rất mạnh,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
207,Ca trù,ca_tru/audio_14_010.wav,2,Mạnh,Thấp,Trầm,Trung bình,Vừa,Thấp,Vừa
208,Ca trù,ca_tru/audio_3_003.wav,1,Vừa,Trung bình,Trầm,Thấp,Chậm,Rất thấp,Vừa
209,Ca trù,ca_tru/audio_3_003.wav,2,Vừa,Trung bình,Trầm,Thấp,Vừa,Rất thấp,Vừa
210,Ca trù,ca_tru/audio_0_000.wav,1,Yếu,Cao,Rất cao,Cao,Vừa,Trung bình,Ít luyến
211,Ca trù,ca_tru/audio_0_000.wav,2,Yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Vừa
212,Ca trù,ca_tru/audio_33_075.wav,1,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Vừa
